name,variant,nodes,edges,controversial,single_hashtag,density,clustering_coefficient,modularity,assortativity,mean_degree,embedding_dimension
hyvinvointi,p1,1800,1822,0,1,0.0005626582669384226,0.02301938291836502,0.9056587916199252,0.9369715804600118,2.0244444444444443,250
hyvinvointi,p2,1458,1446,0,1,0.0006806928945264948,0.007976782168831936,0.898401466151677,0.9265381618016988,1.9835390946502058,221
hyvinvointi,p3,1555,1594,0,1,0.0006596398879357079,0.010288797360704028,0.8828015660987171,0.9124619037003652,2.05016077170418,221
ilmastonmuutos,p1,7834,16769,1,1,0.00027327221122604004,0.04645906899351064,0.5887640761744121,0.6455469210123397,4.281082461067143,330
ilmastonmuutos,p2,4747,8267,1,1,0.00036694499802079623,0.04828025455174211,0.6345866673171084,0.6816581004399449,3.483041921213398,370
ilmastonmuutos,p3,4432,7093,1,1,0.00036118396235254244,0.028444912405621796,0.6843627678108466,0.7291648092032654,3.2008122743682312,265
hallitusohjelma,p2,2595,3458,1,1,0.0005137095683977995,0.03895761691746908,0.8206460672747848,0.8761884863501417,2.665125240847784,245
hallitusohjelma,p3,6503,11617,1,1,0.0002747471968667136,0.03727669856813856,0.7107602982212793,0.7699531465728081,3.572812548054744,625
eduskunta,p2,1397,1727,1,1,0.0008855447510321955,0.007703230465364599,0.7771143214366063,0.8392822289936467,2.47244094488189,97
eduskunta,p3,914,1129,1,1,0.0013529351142385336,0.018255288866812058,0.7693021015329022,0.8493949499761791,2.4704595185995624,58
vaalit2019,p1,19263,70106,1,1,0.00018894259915428984,0.058915153824269456,0.5791990581828467,0.6985462983486315,7.278824689819862,793
vaalit2019,p2,6935,10178,1,1,0.00021165676002952131,0.015320831539479909,0.742449934494742,0.7940452910437118,2.9352559480894014,289
koulutus,p1,3204,4288,0,1,0.0004178354952032719,0.028438708510813995,0.7768196824877478,0.8152228382526346,2.6766541822721597,342
koulutus,p2,2042,2388,0,1,0.0005729748769231729,0.025304748698534992,0.8238561596368218,0.8627414829070502,2.338883447600392,300
koulutus,p3,1990,2342,0,1,0.000591696542036477,0.019075934264728322,0.8144343335708311,0.8513661731238763,2.3537688442211055,274
GREEN,p1,2225,4582,1,0,0.0009259558645218657,0.07498475833586203,0.5709159596477668,0.6607675179655574,4.118651685393258,116
GREEN,p2,1537,2670,1,0,0.0011309572218607677,0.05666832366058643,0.6217257921979549,0.7245753672026002,3.4743005855562785,78
GREEN,p3,1757,3839,1,0,0.0012442906538505918,0.06203997225043758,0.575184383197603,0.6697130353848842,4.3699487763232785,92
FINNS,p1,1680,4377,1,0,0.0015517314728154513,0.0497048505866234,0.47751943835434035,0.5716750378262854,5.210714285714285,93
FINNS,p2,1685,3147,1,0,0.0011090592555523446,0.03099685370671783,0.6091933758693422,0.7378885611130682,3.735311572700297,77
FINNS,p3,1743,2952,1,0,0.0009722340238434466,0.03513889009854227,0.6365675331041928,0.7394877561948879,3.387263339070568,61
osaaminen,p2,1036,1253,0,1,0.001168559864212038,0.04181091481622623,0.7969712275534726,0.8530674244324937,2.418918918918919,144
osaaminen,p3,1107,1244,0,1,0.001016055971289068,0.023242287607346018,0.8191609112809007,0.8814915976466319,2.247515808491418,158
kokoomus,p1,2693,6883,1,1,0.0009494374552041531,0.0865341623208648,0.5807970412841911,0.7746397448533301,5.111771258819161,165
kokoomus,p2,1465,2787,1,1,0.0012994460918704191,0.07822479910167014,0.6067644011762541,0.7358632885493589,3.804778156996587,71
kokoomus,p3,877,1393,1,1,0.0018132071247455262,0.04734008008599519,0.6422987669348692,0.7222944701368847,3.176738882554162,55
CLIMATE,p1,15061,43612,1,0,0.00019227694934799457,0.05059052272846477,0.5186521145849433,0.6041286430854494,5.791381714361596,451
CLIMATE,p2,6951,14214,1,0,0.00029422814790894947,0.05088662357107535,0.596734281342091,0.6540710559294816,4.089771255934398,456
CLIMATE,p3,6567,12268,1,0,0.0002845154616806051,0.03635596462896746,0.6277369935796449,0.6878985411589135,3.736257042789706,389
IMMIGRATION,p1,3373,7421,1,0,0.0006524669599031314,0.052624523107174706,0.6178035101841994,0.8993667727556879,4.400237177586718,152
IMMIGRATION,p2,2040,3780,1,0,0.0009087499639384935,0.041579500222484495,0.6312217603090619,0.8801188448199194,3.7058823529411766,121
IMMIGRATION,p3,2879,5479,1,0,0.0006612548127740092,0.04220828396044087,0.653129350409956,0.8064223481071208,3.806182702327197,118
vihreät,p1,2129,4192,1,1,0.0009252817341616136,0.0648362315313679,0.5817023906860032,0.6561277464122365,3.937999060591827,110
vihreät,p2,1429,2481,1,1,0.0012158117270701142,0.05604747809080492,0.6195971284218749,0.7034624161583847,3.4723582925122463,78
vihreät,p3,1755,3834,1,1,0.0012455047802824313,0.060972549521811525,0.578830816386563,0.6804893700878082,4.369230769230769,92
keskusta,p1,1600,2887,1,1,0.0011284396497811132,0.04714102356926403,0.6646936465785674,0.8148596811201977,3.60875,100
keskusta,p2,1488,2206,1,1,0.0009969918505181104,0.023223263648030023,0.7186026899357147,0.7997212780048369,2.96505376344086,93
keskusta,p3,1030,1727,1,1,0.0016294451206280015,0.05679469769093878,0.6501864692681949,0.7707417037556966,3.353398058252427,81
eduskuntavaalit2019,p1,6700,11780,1,1,0.0002624584199468399,0.029933076777754378,0.7342058494585223,0.8293211810074985,3.5164179104477613,315
eduskuntavaalit2019,p2,1212,1186,1,1,0.000808049425916993,0.006980986404876163,0.8831007624079693,0.9331763723071467,1.9570957095709571,95
EDUCATION,p1,7563,12940,0,0,0.00022625777026709221,0.04187854763591217,0.687581645401795,0.7569401476755605,3.4219225175195027,527
EDUCATION,p2,4312,6692,0,0,0.00035999722847322014,0.0431711303138939,0.7174552525269486,0.7615879120627761,3.103896103896104,447
EDUCATION,p3,4323,6362,0,0,0.0003405051357829793,0.03015668753596722,0.7408430735739286,0.7851161674203376,2.943326393708073,361
SOCIALSECURITY,p1,7629,17398,0,0,0.00029896546744362634,0.04360340601545735,0.6348268939506916,0.7176220163986388,4.561017171319963,534
SOCIALSECURITY,p2,3816,6169,0,0,0.0004237520984967757,0.03187270795759252,0.7181507020563419,0.7665795839918109,3.2332285115303985,363
