name,decreasing_or_stable,variants,controversial,nodes,edges,density,modularity,embedding_dimension,assortativity,clustering_coefficient,mean_degree,embedding_dimension_slope,controversial_numbers
maahanmuutto,False,p1;p2;p3,True,1463;925;1008,2632;1409;1536,0.0012305356102605;0.0016485316485316;0.001513217004776,0.583940004249776;0.6213044903970772;0.6361732482910156,87;60;71,0.6708760328824122;0.6752590667192947;0.6880637801307345,0.0440694292540488;0.0370897361639651;0.0262018798152123,3.598086124401914;3.0464864864864865;3.0476190476190474,-7.999999999999981,1
metsä,False,p2;p3,False,944;920,1292;1205,0.0014513722882254;0.0014252259071769,0.707813743062811;0.7422723437957336,73;112,0.794870966873873;0.8120638953371412,0.0292162020459494;0.0143727858042504,2.73728813559322;2.619565217391304,38.99999999999999,2
mielenterveys,False,p1;p2;p3,False,1185;953;1657,1602;1206;2491,0.0011418063633253;0.0013292830248573;0.0009078014804707,0.7445378825781132;0.7356569831879849;0.6569601589407132,128;76;93,0.8109807520008353;0.8049359942704792;0.7064521501303815,0.0368974253680725;0.0482807902285509;0.0608037628447979,2.7037974683544306;2.5309548793284367;3.006638503319252,-17.50000000000001,2
monimuotoisuus,True,p2;p3,False,1203;890,1777;1185,0.0012289022313876;0.0014977060451713,0.6534636126152688;0.7116046217664548,67;65,0.7131810515255831;0.758830466733443,0.0309192815350173;0.0191971949600026,2.954280964256027;2.662921348314607,-1.999999999999994,2
nuoret,False,p1;p2;p3,False,2468;2041;1858,3115;2498;2471,0.0005116155620478;0.0005999558078988;0.0007161683630379,0.8109202868118589;0.8160031628184854;0.7856010335021826,248;274;224,0.8490764771191919;0.8488366607280954;0.8190041548186437,0.0269516280297867;0.0214373084878837;0.0320863902066056,2.5243111831442464;2.44781969622734;2.659849300322928,-11.99999999999996,2
nytonpakko,True,p1;p2;p3,True,3945;1225;1045,8051;1801;1297,0.0005174470469976;0.0012011471255168;0.0011888393921061,0.5703991667453606;0.6792718956493108;0.733240637756664,146;59;34,0.6228274787231568;0.7620484292537291;0.8371497662902833,0.0485276823810254;0.038641866885581;0.0402484744028931,4.081622306717364;2.9404081632653063;2.482296650717704,-55.99999999999998,1
osaaminen,False,p2;p3,False,1036;1107,1253;1244,0.001168559864212;0.001016055971289,0.7969712275534726;0.8191609112809007,144;158,0.8530674244324937;0.8814915976466319,0.0418109148162262;0.023242287607346,2.418918918918919;2.247515808491418,13.999999999999968,2
persut,True,p2;p3,True,893;1167,1290;1767,0.0016194718262118;0.0012985753151635,0.6521230695270717;0.625038233168038,34;32,0.707971148752502;0.6896548068397585,0.0241558104937388;0.0251583942268259,2.889137737961926;3.0282776349614395,-2.0000000000000075,1
perussuomalaiset,True,p1;p2;p3,True,1295;1187;828,3081;1951;1119,0.0018386016840421;0.0013858679824006;0.0016341587368347,0.4641200620148767;0.6214973146549719;0.7115131360903271,64;49;39,0.5253409711507044;0.6982507632839745;0.8032654305070444,0.046460640416109;0.0159950015449716;0.022966044566097,4.758301158301158;3.287278854254423;2.7028985507246377,-12.5,1
poliisi,False,p1;p2;p3,False,1429;1752;1605,1999;2201;2203,0.0009796080783608;0.0007174634716235;0.0008557267267967,0.7033842083623102;0.7177318723202311;0.7040459209566289,53;13;54,0.7628949644802373;0.8139873141830279;0.7689653154734577,0.0432910955350951;0.0418204286247824;0.0492260195633089,2.7977606717984607;2.5125570776255706;2.745171339563863,0.499999999999998,2
politiikka,False,p1;p2;p3,True,4134;3542;3253,6763;5705;5206,0.0003958252637771;0.000454863579994;0.000492118354937,0.687536267575556;0.6684399265370644;0.688651713816426,134;154;166,0.7368007300282362;0.7295048141508516;0.7658680385220875,0.0206002830711126;0.015416570442613;0.0268357451108228,3.2718916303821963;3.2213438735177866;3.2007377805102983,16.00000000000002,1
